-5.409090909101493594e+00,3.769210226680066000e+01,1.500833102213064707e-01
-4.259090909078210530e+00,7.263566418034874062e+01,1.500833101922188217e-01
-2.559090909066568997e+00,8.348234211378661485e+01,3.000416637619100491e-01
-5.909090906656899733e-02,9.124585990653960721e+01,3.000416637619100491e-01
2.890909090945072535e+00,8.041244434287355602e+01,4.500277769030306407e-01
5.390909090945072535e+00,6.251371318661591658e+01,4.500277769030306407e-01
7.890909090945072535e+00,1.930210027033048803e+01,4.500277769030306407e-01
-1.000000000000000000e+03,-1.000000000000000000e+03,-1.000000000000000000e+03
-5.941612842994238974e+00,2.997771985217251967e+01,1.500833102213064707e-01
-4.791612842970955910e+00,7.429167802772673213e+01,1.500833101922188217e-01
-3.091612842959314378e+00,9.205237301536377004e+01,3.000416637619100491e-01
-5.916128429593143778e-01,1.025329004709278422e+02,3.000416637619100491e-01
2.358387157052327154e+00,9.541244501601293848e+01,4.500277769030306407e-01
4.858387157052327154e+00,8.134200566303793778e+01,4.500277769030306407e-01
7.358387157052327154e+00,3.232316604667969528e+01,4.500277769030306407e-01
-1.000000000000000000e+03,-1.000000000000000000e+03,-1.000000000000000000e+03
-6.104255498184535611e+00,3.222141972311403180e+01,1.500833102213064707e-01
-4.954255498161252547e+00,8.016679885363895153e+01,1.500833101922188217e-01
-3.254255498149611014e+00,9.185572004786583022e+01,3.000416637619100491e-01
-7.542554981496110145e-01,9.744439241254980288e+01,3.000416637619100491e-01
2.195744501862030518e+00,9.512175322208896944e+01,4.500277769030306407e-01
4.695744501862030518e+00,7.357365833173180647e+01,4.500277769030306407e-01
7.195744501862030518e+00,1.672239800770136142e+01,4.500277769030306407e-01
-1.000000000000000000e+03,-1.000000000000000000e+03,-1.000000000000000000e+03
-5.575821752650867325e+00,3.051671499198710791e+01,1.500833102213064707e-01
-4.425821752627584260e+00,6.943628898201500022e+01,1.500833101922188217e-01
-2.725821752615942728e+00,8.065694820746865901e+01,3.000416637619100491e-01
-2.258217526159427280e-01,8.158214349765530926e+01,3.000416637619100491e-01
2.724178247395698804e+00,7.349712609025763754e+01,4.500277769030306407e-01
5.224178247395698804e+00,4.492126552697880015e+01,4.500277769030306407e-01
-1.000000000000000000e+03,-1.000000000000000000e+03,-1.000000000000000000e+03
-6.295289464654864275e+00,7.911516950569132689e+01,1.500833102213064707e-01
-5.145289464631581211e+00,8.982769096197600334e+01,1.500833101922188217e-01
-3.445289464619939679e+00,8.434967837829189818e+01,3.000416637619100491e-01
-9.452894646199396789e-01,9.659349517532913865e+01,3.000416637619100491e-01
2.004710535391701853e+00,9.577957587342194756e+01,4.500277769030306407e-01
4.504710535391701853e+00,7.473604159793197255e+01,4.500277769030306407e-01
7.004710535391701853e+00,1.835249894821403771e+01,4.500277769030306407e-01
-1.000000000000000000e+03,-1.000000000000000000e+03,-1.000000000000000000e+03
-7.018914841077950939e+00,3.597177117847727601e+01,1.500833102213064707e-01
-5.868914841054667875e+00,8.051683906789543244e+01,1.500833101922188217e-01
-4.168914841043026343e+00,1.049038505581028460e+02,3.000416637619100491e-01
-1.668914841043026343e+00,1.154146044969374998e+02,3.000416637619100491e-01
1.281085158968615190e+00,1.163695279169247385e+02,4.500277769030306407e-01
3.781085158968615190e+00,1.052062281478898456e+02,4.500277769030306407e-01
6.281085158968615190e+00,7.755441901342551603e+01,4.500277769030306407e-01
8.781085158968615190e+00,1.467143087827098569e+01,4.500277769030306407e-01
-1.000000000000000000e+03,-1.000000000000000000e+03,-1.000000000000000000e+03
-6.431340268307394581e+00,4.913949465751643686e+01,1.500833102213064707e-01
-5.281340268284111517e+00,9.134649463906941946e+01,1.500833101922188217e-01
-3.581340268272469984e+00,9.913101858903785057e+01,3.000416637619100491e-01
-1.081340268272469984e+00,1.036289932787126702e+02,3.000416637619100491e-01
1.868659731739171548e+00,1.301082378944653613e+02,4.500277769030306407e-01
4.368659731739171548e+00,1.083967133950485646e+02,4.500277769030306407e-01
6.868659731739171548e+00,9.488210002665516640e+01,4.500277769030306407e-01
9.368659731739171548e+00,2.578965309499542968e+01,4.500277769030306407e-01
-1.000000000000000000e+03,-1.000000000000000000e+03,-1.000000000000000000e+03
-8.147214180568823849e+00,4.747259662235689603e+01,1.500833102213064707e-01
-6.997214180545540785e+00,9.886728881363158905e+01,1.500833101922188217e-01
-5.297214180533899253e+00,1.258868156586220408e+02,3.000416637619100491e-01
-2.797214180533899253e+00,1.424999310760591698e+02,3.000416637619100491e-01
1.527858194777422796e-01,1.441584514046441257e+02,4.500277769030306407e-01
2.652785819477742280e+00,1.429566628632094307e+02,4.500277769030306407e-01
5.152785819477742280e+00,1.241585621441932403e+02,4.500277769030306407e-01
7.652785819477742280e+00,9.959884573618765558e+01,4.500277769030306407e-01
9.702785819466100747e+00,6.354259091678573412e+01,3.000416637619100491e-01
1.060278581943117615e+01,1.777464605602346381e+01,2.950423698514424431e-01
-1.000000000000000000e+03,-1.000000000000000000e+03,-1.000000000000000000e+03
-7.393912685400771068e+00,2.940795737904111462e+01,1.500833102213064707e-01
-6.243912685377488003e+00,8.331544916214330954e+01,1.500833101922188217e-01
-4.543912685365846471e+00,9.712346695481269876e+01,3.000416637619100491e-01
-2.043912685365846471e+00,1.062591467154112053e+02,3.000416637619100491e-01
9.060873146457950611e-01,1.048415089890432625e+02,4.500277769030306407e-01
3.406087314645795061e+00,9.671925937224642666e+01,4.500277769030306407e-01
5.906087314645795061e+00,6.892661603904259948e+01,4.500277769030306407e-01
-1.000000000000000000e+03,-1.000000000000000000e+03,-1.000000000000000000e+03
-8.436751045637350899e+00,5.786192675677573050e+01,1.500833102213064707e-01
-7.286751045614067834e+00,9.760567574006995528e+01,1.500833101922188217e-01
-5.586751045602426302e+00,1.210885602639094714e+02,3.000416637619100491e-01
-3.086751045602426302e+00,1.363726517083665613e+02,3.000416637619100491e-01
-1.367510455907847700e-01,1.428526858033695248e+02,4.500277769030306407e-01
