0.0002421555,0.0052979904
-1000,-1000
-6.0090909091,0
-5.4090909091,37.6921022668
-4.2590909091,72.6356641803
-2.5590909091,83.4823421138
-0.0590909091,91.2458599065
2.8909090909,80.4124443429
5.3909090909,62.5137131866
7.8909090909,19.3021002703
-1000,-1000
-6.541612843,0
-5.941612843,29.9777198522
-4.791612843,74.2916780277
-3.091612843,92.0523730154
-0.591612843,102.5329004709
2.3583871571,95.412445016
4.8583871571,81.342005663
7.3583871571,32.3231660467
-1000,-1000
-6.7042554982,0
-6.1042554982,32.2214197231
-4.9542554982,80.1667988536
-3.2542554981,91.8557200479
-0.7542554981,97.4443924125
2.1957445019,95.1217532221
4.6957445019,73.5736583317
7.1957445019,16.7223980077
-1000,-1000
-6.1758217526,0
-5.5758217527,30.516714992
-4.4258217526,69.436288982
-2.7258217526,80.6569482075
-0.2258217526,81.5821434977
2.7241782474,73.4971260903
5.2241782474,44.921265527
-1000,-1000
-6.8952894646,0
-6.2952894647,79.1151695057
-5.1452894646,89.827690962
-3.4452894646,84.3496783783
-0.9452894646,96.5934951753
2.0047105354,95.7795758734
4.5047105354,74.7360415979
7.0047105354,18.3524989482
-1000,-1000
-7.6189148411,0
-7.0189148411,35.9717711785
-5.8689148411,80.5168390679
-4.168914841,104.9038505581
-1.668914841,115.4146044969
1.281085159,116.3695279169
3.781085159,105.2062281479
6.281085159,77.5544190134
8.781085159,14.6714308783
-1000,-1000
-8.7472141806,0
-8.1472141806,47.4725966224
-6.9972141805,98.8672888136
-5.2972141805,125.8868156586
-2.7972141805,142.4999310761
0.1527858195,144.1584514046
2.6527858195,142.9566628632
5.1527858195,124.1585621442
7.6527858195,99.5988457362
9.7027858195,63.5425909168
10.6027858194,17.774646056
-1000,-1000
-7.9939126854,0
-7.3939126854,29.407957379
-6.2439126854,83.3154491621
-4.5439126854,97.1234669548
-2.0439126854,106.2591467154
0.9060873146,104.841508989
3.4060873146,96.7192593722
5.9060873146,68.926616039
-1000,-1000
-9.0367510456,0
-8.4367510456,57.8619267568
-7.2867510456,97.6056757401
-5.5867510456,121.0885602639
-3.0867510456,136.3726517084
-0.1367510456,142.8526858034
2.3632489544,137.2720311117
4.8632489544,124.7301461719
7.3632489544,104.0086054579
9.4132489544,79.2040538376
10.3132489544,44.6063739775
11.9132489544,28.4272007143
-1000,-1000
-8.2458209002,0
-7.6458209002,39.7316616274
-6.4958209001,84.8749996315
-4.7958209001,104.1756620464
-2.2958209001,115.327246039
0.6541790999,114.0692876336
3.1541790999,111.6659744316
5.6541790999,83.3042831148
8.1541790999,21.0689915946
-1000,-1000
-7.6940358156,0
-7.0940358156,33.7288571203
-5.9440358155,81.9026326818
-4.2440358155,101.9845855402
-1.7440358155,109.3433643031
1.2059641845,110.5492995216
3.7059641845,101.3172826036
6.2059641845,64.779159673
8.7059641845,22.6881401888
-1000,-1000
-9.7362638473,0
-9.1362638473,35.4031302394
-7.9862638473,86.8118258737
-6.2862638473,113.2977477318
-3.7862638473,125.8356510395
-0.8362638473,134.1129317205
1.6637361527,131.9156591068
4.1637361527,120.6707327579
6.6637361527,100.1005083428
8.7137361527,56.3581076692
-1000,-1000
-8.2137685448,0
-7.6137685448,37.1559810748
-6.4637685448,94.6074131513
-4.7637685448,107.6932533676
-2.2637685448,121.1290885237
0.6862314553,127.1757997868
3.1862314553,118.9808639603
5.6862314553,101.304704233
8.1862314553,66.1648853655
10.2362314552,28.1751358229
-1000,-1000
-7.2139620119,0
-6.6139620119,27.7980848452
-5.4639620119,77.4522588968
-3.7639620119,95.203197879
-1.2639620119,104.8375571661
1.6860379881,101.1584505392
4.1860379881,89.4407759454
6.6860379881,55.3266451433
-1000,-1000
-6.867549722,0
-6.2675497221,34.1692777469
-5.117549722,82.6369192056
-3.417549722,100.9189462069
-0.917549722,108.8251437724
2.032450278,107.5667508752
4.532450278,90.1555974747
7.032450278,51.6501191975
-1000,-1000
-6.7241515682,0
-6.1241515682,35.1631007757
-4.9741515682,79.1800898309
-3.2741515682,99.130928896
-0.7741515682,105.9401516229
2.1758484318,103.5738353102
4.6758484318,85.1855653671
7.1758484318,42.2236557078
-1000,-1000
-6.7163177329,0
-6.1163177329,38.0045638164
-4.9663177329,82.8103147432
-3.2663177329,103.1302169682
-0.7663177329,111.7118186174
2.1836822671,105.7662676013
4.6836822671,94.0053821483
7.1836822671,55.0788135075
-1000,-1000
-8.2417837857,0
-7.6417837857,38.6734535908
-6.4917837857,87.5947891474
-4.7917837857,111.3449782947
-3.8917837857,122.9288745238
-2.2917837857,126.7765066565
0.6582162143,138.4100621799
3.1582162143,132.4794020191
5.6582162143,114.2307264477
8.1582162143,83.7528495013
10.2082162143,44.4260660069
11.1082162143,22.0482976655
-1000,-1000
-6.5056561504,0
-5.9056561504,38.6380517107
-4.7556561504,81.3277139118
-3.0556561504,102.0011151495
-0.5556561504,115.3904743432
2.3943438496,108.8750543986
4.8943438496,95.5058926657
7.3943438496,62.2159369382
9.8943438496,23.6764031027
-1000,-1000
-8.391315357,0
-7.791315357,56.0704428765
-6.641315357,85.9777185355
-4.941315357,113.680393986
-2.441315357,124.0047206653
0.508684643,128.7379706119
3.008684643,122.3890267089
5.508684643,105.6535757059
8.008684643,64.44708318
10.058684643,27.0908736074
-1000,-1000
-7.9803881292,0
-7.3803881292,39.7064522069
-6.2303881292,85.2825791098
-4.5303881292,110.3656534847
-2.0303881292,116.0503746953
0.9196118708,118.8120566037
3.4196118708,107.7628985985
5.9196118708,89.3369354568
8.4196118708,43.1695008547
10.4696118708,39.4120806932
